Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
softmax,static,iid,Mean,0,accs,0.1083,0.017308919688992726
softmax,static,iid,Mean,1,accs,0.11632,0.01791391392484252
softmax,static,iid,Mean,2,accs,0.12585,0.019006661449782986
softmax,static,iid,Mean,3,accs,0.13595,0.01956238089803999
softmax,static,iid,Mean,4,accs,0.14662,0.020157102655998068
softmax,static,iid,Mean,5,accs,0.15824,0.0211490811753135
softmax,static,iid,Mean,6,accs,0.17144999999999996,0.02252943530189387
softmax,static,iid,Mean,7,accs,0.18463,0.023182436670318617
softmax,static,iid,Mean,8,accs,0.19900999999999996,0.02439057842473879
softmax,static,iid,Mean,9,accs,0.21419000000000002,0.024967292969091472
softmax,static,iid,Mean,10,accs,0.22969000000000003,0.02613833820408465
softmax,static,iid,Mean,11,accs,0.24549999999999997,0.0272883654752554
softmax,static,iid,Mean,12,accs,0.26077,0.02825216170639769
softmax,static,iid,Mean,13,accs,0.27651,0.029100943009997302
softmax,static,iid,Mean,14,accs,0.29269,0.029617098895814292
softmax,static,iid,Mean,15,accs,0.30831,0.029484947810026724
softmax,static,iid,Mean,16,accs,0.32399,0.029672893209946496
softmax,static,iid,Mean,17,accs,0.33888,0.029029207923055706
softmax,static,iid,Mean,18,accs,0.35384,0.02898038499368533
softmax,static,iid,Mean,19,accs,0.36868999999999996,0.02859971349320363
softmax,static,iid,Mean,20,accs,0.38282,0.02826699046858564
softmax,static,iid,Mean,21,accs,0.39719000000000004,0.02788119347325959
softmax,static,iid,Mean,22,accs,0.41092000000000006,0.027392308778114258
softmax,static,iid,Mean,23,accs,0.42401,0.026634124373400715
softmax,static,iid,Mean,24,accs,0.43642000000000003,0.02582461964560175
softmax,static,iid,Mean,25,accs,0.44819,0.025264687214986665
softmax,static,iid,Mean,26,accs,0.45971,0.025203656690250324
softmax,static,iid,Mean,27,accs,0.47075999999999996,0.024544668187340947
softmax,static,iid,Mean,28,accs,0.48084999999999994,0.024128799428621936
softmax,static,iid,Mean,29,accs,0.49103,0.023682716939105144
softmax,static,iid,Mean,30,accs,0.5004100000000001,0.022745918928311806
softmax,static,iid,Mean,31,accs,0.50943,0.02254891860269824
softmax,static,iid,Mean,32,accs,0.5180100000000001,0.022127937048596887
