Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
CIFAR-10,softmax,static,iid,Mean,0,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,1,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,2,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,3,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,4,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,5,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,6,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,7,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,8,accs,0.10555,0.014209999999999999
CIFAR-10,softmax,static,iid,Mean,9,accs,0.15865,0.013426000000000016
CIFAR-10,softmax,static,iid,Mean,0,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,1,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,2,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,3,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,4,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,5,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,6,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,7,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,8,losses,2.3003929513931274,0.0032975831375124183
CIFAR-10,softmax,static,iid,Mean,9,losses,2.3449805255889893,0.06467880744934103
CIFAR-10,softmax,static,iid,Mean,0,xi,3.817603588104248,0.28913024067878723
CIFAR-10,softmax,static,iid,Mean,1,xi,3.3202805519104004,0.06679802387952805
CIFAR-10,softmax,static,iid,Mean,2,xi,2.9815988540649414,0.040887150913476944
CIFAR-10,softmax,static,iid,Mean,3,xi,2.7563347816467285,0.04832611232995987
CIFAR-10,softmax,static,iid,Mean,4,xi,2.488550901412964,0.04405942186713219
CIFAR-10,softmax,static,iid,Mean,5,xi,2.3468499183654785,0.2301536351442337
CIFAR-10,softmax,static,iid,Mean,6,xi,2.129408836364746,0.24718299508094788
CIFAR-10,softmax,static,iid,Mean,7,xi,1.881353735923767,0.2213132530450821
CIFAR-10,softmax,static,iid,Mean,8,xi,1.7789000272750854,0.19983378052711487
CIFAR-10,softmax,static,iid,Mean,9,xi,1.6682686805725098,0.33192896842956543
CIFAR-10,softmax,static,iid,Mean,0,A,4.124630928039551,0.3063502311706543
CIFAR-10,softmax,static,iid,Mean,1,A,3.814730167388916,0.17484816908836365
CIFAR-10,softmax,static,iid,Mean,2,A,3.5189995765686035,0.010525241494178772
CIFAR-10,softmax,static,iid,Mean,3,A,3.117567539215088,0.09823636710643768
CIFAR-10,softmax,static,iid,Mean,4,A,2.754438877105713,0.2229609340429306
CIFAR-10,softmax,static,iid,Mean,5,A,2.518341302871704,0.24291633069515228
CIFAR-10,softmax,static,iid,Mean,6,A,2.3686790466308594,0.579383373260498
CIFAR-10,softmax,static,iid,Mean,7,A,2.270016670227051,0.6552872061729431
CIFAR-10,softmax,static,iid,Mean,8,A,2.044377565383911,0.2512281835079193
CIFAR-10,softmax,static,iid,Mean,9,A,1.9696738719940186,0.3374931216239929
CIFAR-10,softmax,static,iid,Mean,0,variance,0.0003607867984101176,2.0717488951049745e-05
CIFAR-10,softmax,static,iid,Mean,1,variance,0.0002927921013906598,1.3490820016670568e-08
CIFAR-10,softmax,static,iid,Mean,2,variance,0.00023939760285429657,2.2654401163890725e-06
CIFAR-10,softmax,static,iid,Mean,3,variance,0.00019372101814951748,7.029186122053943e-07
CIFAR-10,softmax,static,iid,Mean,4,variance,0.00015937871648930013,2.8169795314170187e-06
CIFAR-10,softmax,static,iid,Mean,5,variance,0.00013019180914852768,7.513571290473919e-06
CIFAR-10,softmax,static,iid,Mean,6,variance,0.00010833897977136075,4.795791141987138e-07
CIFAR-10,softmax,static,iid,Mean,7,variance,8.933971548685804e-05,9.202687465403869e-07
CIFAR-10,softmax,static,iid,Mean,8,variance,7.412205741275102e-05,1.2418799997249153e-06
CIFAR-10,softmax,static,iid,Mean,9,variance,6.481396849267185e-05,1.1740481795641244e-06
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_0,0.20700000000000002,0.11760000000000002
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_0,0.2605,0.42238
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_1,0.0675,0.02646
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_1,0.001,0.00196
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_2,0.06849999999999999,0.09701999999999998
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_2,0.0025,0.0049
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_3,0.0045,0.00882
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_3,0.1565,0.30673999999999996
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_4,0.032,0.0058800000000000015
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_4,0.152,0.29203999999999997
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_5,0.0385,0.04802
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_5,0.1705,0.11074
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_6,0.001,0.0
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_6,0.313,0.16072
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_7,0.038000000000000006,0.06272
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_7,0.0,0.0
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_8,0.3775,0.44197999999999993
CIFAR-10,softmax,static,iid,Mean,9,per_class_accs_class_8,0.1255,0.24598
CIFAR-10,softmax,static,iid,Mean,0,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,1,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,2,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,3,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,4,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,5,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,6,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,7,per_class_accs_class_9,0.221,0.40179999999999993
CIFAR-10,softmax,static,iid,Mean,8,per_class_accs_class_9,0.221,0.40179999999999993
