Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
MNIST,softmax,static,dirichlet,Mean,0,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,1,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,2,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,3,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,4,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,5,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,6,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,7,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,8,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,9,accs,0.1799,nan
MNIST,softmax,static,dirichlet,Mean,10,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,11,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,12,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,13,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,14,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,15,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,16,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,17,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,18,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,19,accs,0.2926,nan
MNIST,softmax,static,dirichlet,Mean,20,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,21,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,22,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,23,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,24,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,25,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,26,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,27,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,28,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,29,accs,0.3703,nan
MNIST,softmax,static,dirichlet,Mean,30,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,31,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,32,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,33,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,34,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,35,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,36,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,37,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,38,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,39,accs,0.4437,nan
MNIST,softmax,static,dirichlet,Mean,40,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,41,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,42,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,43,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,44,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,45,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,46,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,47,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,48,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,49,accs,0.5042,nan
MNIST,softmax,static,dirichlet,Mean,50,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,51,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,52,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,53,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,54,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,55,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,56,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,57,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,58,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,59,accs,0.5417,nan
MNIST,softmax,static,dirichlet,Mean,60,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,61,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,62,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,63,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,64,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,65,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,66,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,67,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,68,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,69,accs,0.5733,nan
MNIST,softmax,static,dirichlet,Mean,70,accs,0.5996,nan
MNIST,softmax,static,dirichlet,Mean,71,accs,0.5996,nan
MNIST,softmax,static,dirichlet,Mean,72,accs,0.5996,nan
MNIST,softmax,static,dirichlet,Mean,73,accs,0.5996,nan
MNIST,softmax,static,dirichlet,Mean,74,accs,0.5996,nan
MNIST,softmax,static,dirichlet,Mean,75,accs,0.5996,nan
