Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
cnn,dynamic,iid,Mean,0,0.0854,2.3035482704162598,0.34995901584625244,1.277335524559021
cnn,dynamic,iid,Mean,1,0.0855,2.3032120948791506,0.31923291087150574,1.2629469633102417
cnn,dynamic,iid,Mean,2,0.087,2.30288344039917,0.2834030091762543,1.2499576807022095
cnn,dynamic,iid,Mean,3,0.0876,2.302563766479492,0.26826706528663635,1.2338072061538696
cnn,dynamic,iid,Mean,4,0.0876,2.3022535396575927,0.24541929364204407,1.191414713859558
cnn,dynamic,iid,Mean,5,0.0878,2.301952165603638,0.2188566029071808,1.144225835800171
cnn,dynamic,iid,Mean,6,0.088,2.301659475326538,0.18752437829971313,1.1112873554229736
cnn,dynamic,iid,Mean,7,0.0879,2.3013756351470946,0.16357927024364471,1.085982084274292
cnn,dynamic,iid,Mean,8,0.0879,2.301100262451172,0.15210463106632233,1.0570017099380493
cnn,dynamic,iid,Mean,9,0.0877,2.300831410217285,0.1357887089252472,1.026719093322754
cnn,dynamic,iid,Mean,10,0.0876,2.3005694709777833,0.13353648781776428,1.0027965307235718
cnn,dynamic,iid,Mean,11,0.088,2.3003128299713134,0.12123589962720871,0.9975172877311707
cnn,dynamic,iid,Mean,12,0.0878,2.3000620422363283,0.11038423329591751,0.9906623959541321
cnn,dynamic,iid,Mean,13,0.0881,2.2998164691925047,0.1233689934015274,0.984606146812439
cnn,dynamic,iid,Mean,14,0.0882,2.299573657989502,0.11025899648666382,0.9749028086662292
cnn,dynamic,iid,Mean,15,0.0881,2.299333686065674,0.09759077429771423,0.9550720453262329
cnn,dynamic,iid,Mean,16,0.0884,2.299097130203247,0.096117302775383,0.939321756362915
cnn,dynamic,iid,Mean,17,0.0889,2.298858755493164,0.08493973314762115,0.9226540923118591
cnn,dynamic,iid,Mean,18,0.0893,2.2986227714538576,0.08493712544441223,0.8974605202674866
cnn,dynamic,iid,Mean,19,0.0893,2.298384870529175,0.0850072056055069,0.8824693560600281
