Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
cnn,static,iid,Mean,0,0.1116,2.301068148422241,0.386355459690094,0.43621698021888733
cnn,static,iid,Mean,1,0.1113,2.3008877975463866,0.34660273790359497,0.39901474118232727
cnn,static,iid,Mean,2,0.1109,2.3007095180511477,0.3120414614677429,0.34490257501602173
cnn,static,iid,Mean,3,0.1104,2.3005331951141357,0.27757805585861206,0.3285687565803528
cnn,static,iid,Mean,4,0.1104,2.300357788848877,0.2563537061214447,0.3044852614402771
cnn,static,iid,Mean,5,0.1103,2.300184506225586,0.24626800417900085,0.27393630146980286
cnn,static,iid,Mean,6,0.1101,2.3000114559173586,0.22630074620246887,0.2551306486129761
cnn,static,iid,Mean,7,0.11,2.299841083526611,0.2004421353340149,0.24896341562271118
cnn,static,iid,Mean,8,0.11,2.299671446990967,0.18232840299606323,0.23271295428276062
cnn,static,iid,Mean,9,0.1103,2.2995004123687743,0.1621301919221878,0.22655586898326874
cnn,static,iid,Mean,10,0.1102,2.2993307876586915,0.14856117963790894,0.20714348554611206
cnn,static,iid,Mean,11,0.11,2.299162117767334,0.14544443786144257,0.1994663029909134
cnn,static,iid,Mean,12,0.1098,2.2989940593719482,0.15436290204524994,0.19925616681575775
cnn,static,iid,Mean,13,0.1102,2.2988293487548828,0.14388306438922882,0.19013598561286926
cnn,static,iid,Mean,14,0.1102,2.298665712738037,0.13667629659175873,0.17344138026237488
cnn,static,iid,Mean,15,0.1101,2.298503811264038,0.13710859417915344,0.16796740889549255
cnn,static,iid,Mean,16,0.1103,2.2983436470031737,0.12910619378089905,0.16422942280769348
cnn,static,iid,Mean,17,0.1102,2.298184673309326,0.11003844439983368,0.15320554375648499
cnn,static,iid,Mean,18,0.1103,2.2980278076171876,0.10036750137805939,0.15273839235305786
cnn,static,iid,Mean,19,0.1106,2.2978728790283203,0.08476103842258453,0.15240681171417236
cnn,static,iid,Mean,20,0.1111,2.297720650100708,0.07720957696437836,0.15379247069358826
cnn,static,iid,Mean,21,0.1115,2.2975694789886476,0.07161635905504227,0.14923007786273956
cnn,static,iid,Mean,22,0.1123,2.297419753265381,0.07658097892999649,0.14214105904102325
cnn,static,iid,Mean,23,0.1128,2.297269662475586,0.0794081762433052,0.14038249850273132
cnn,static,iid,Mean,24,0.114,2.297120587539673,0.07886312901973724,0.14518584311008453
