Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
dynamic,iid,Mean,0,0.0972,2.323328595352173,1.2690411806106567,2.4411442279815674
dynamic,iid,Mean,1,0.1025,2.3133500072479247,1.1317522525787354,2.3850581645965576
dynamic,iid,Mean,2,0.1104,2.3035010944366454,1.0178120136260986,2.277186155319214
dynamic,iid,Mean,3,0.1197,2.2938769916534425,0.9147015810012817,2.2563343048095703
dynamic,iid,Mean,4,0.1295,2.284468809890747,0.8578861355781555,2.187142848968506
dynamic,iid,Mean,5,0.1441,2.275253742980957,0.7912569642066956,2.159863233566284
dynamic,iid,Mean,6,0.1618,2.2662448230743406,0.7216979265213013,2.1046063899993896
dynamic,iid,Mean,7,0.1806,2.257412686920166,0.667436420917511,2.022307872772217
dynamic,iid,Mean,8,0.2024,2.248781283187866,0.6009193658828735,1.9325520992279053
dynamic,iid,Mean,9,0.2224,2.2403612358093263,0.5275920033454895,1.8485339879989624
dynamic,iid,TriMean,0,0.0801,2.3114948959350587,1.1549341678619385,3.642198324203491
dynamic,iid,TriMean,1,0.0895,2.30170758934021,1.042346477508545,3.6023900508880615
dynamic,iid,TriMean,2,0.1005,2.291911835098267,0.8993546962738037,3.5755391120910645
dynamic,iid,TriMean,3,0.1143,2.2820968238830566,0.8110653162002563,3.5392582416534424
dynamic,iid,TriMean,4,0.129,2.272323543548584,0.7117226719856262,3.4474241733551025
dynamic,iid,TriMean,5,0.1452,2.262598690414429,0.6657613515853882,3.349900484085083
dynamic,iid,TriMean,6,0.1623,2.252841363143921,0.6078553199768066,3.2788712978363037
dynamic,iid,TriMean,7,0.1793,2.2431456943511963,0.541447103023529,3.132518768310547
dynamic,iid,TriMean,8,0.1977,2.233538433456421,0.5331020951271057,3.0257344245910645
dynamic,iid,TriMean,9,0.2156,2.223933221435547,0.5071483850479126,2.917694568634033
dynamic,iid,FABA,0,0.1226,2.3075806827545167,1.1518300771713257,5.1276984214782715
dynamic,iid,FABA,1,0.1295,2.296855097579956,1.0483251810073853,5.021446228027344
dynamic,iid,FABA,2,0.136,2.2864472499847412,0.9729617238044739,4.90867280960083
dynamic,iid,FABA,3,0.1432,2.276328799819946,0.8692202568054199,4.758730411529541
dynamic,iid,FABA,4,0.1518,2.266485404586792,0.8123404383659363,4.502635478973389
dynamic,iid,FABA,5,0.1617,2.2568328910827637,0.7322097420692444,4.177976608276367
dynamic,iid,FABA,6,0.172,2.247349479293823,0.6508648991584778,3.932814359664917
dynamic,iid,FABA,7,0.183,2.2379926124572753,0.5832802653312683,3.718980550765991
dynamic,iid,FABA,8,0.1968,2.228773870849609,0.5430952310562134,3.4684205055236816
dynamic,iid,FABA,9,0.2124,2.219645774459839,0.49939051270484924,3.2426624298095703
dynamic,iid,CC,0,0.1372,2.2943959789276125,1.3304004669189453,2.943403482437134
dynamic,iid,CC,1,0.1587,2.2824818843841554,1.2174808979034424,2.826028823852539
dynamic,iid,CC,2,0.1839,2.270854662322998,1.149893879890442,2.7693710327148438
dynamic,iid,CC,3,0.2077,2.2595610401153565,1.0598772764205933,2.680116891860962
dynamic,iid,CC,4,0.2322,2.2486135189056395,0.9405813813209534,2.586470365524292
