dataset,n_clients,trial,partition_method,frac_one_class,mean_unique_classes,mean_entropy
digits,5,0,IID,0.0,10.0,0.9952012497690502
digits,5,0,Dirichlet (α=10.0),0.0,10.0,0.9805438503632014
digits,5,0,Dirichlet (α=1.0),0.0,9.6,0.8275103576949778
digits,5,0,Dirichlet (α=0.5),0.0,9.6,0.7619594700619352
digits,5,0,Dirichlet (α=0.1),0.0,7.4,0.5379448114209937
digits,5,0,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,1,IID,0.0,10.0,0.9940933411870574
digits,5,1,Dirichlet (α=10.0),0.0,10.0,0.9832612022098891
digits,5,1,Dirichlet (α=1.0),0.0,9.8,0.8795652670261358
digits,5,1,Dirichlet (α=0.5),0.0,9.4,0.8325005559298517
digits,5,1,Dirichlet (α=0.1),0.0,6.0,0.45608204252700785
digits,5,1,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,2,IID,0.0,10.0,0.9945047289065128
digits,5,2,Dirichlet (α=10.0),0.0,10.0,0.9845085321417668
digits,5,2,Dirichlet (α=1.0),0.0,10.0,0.859564499835689
digits,5,2,Dirichlet (α=0.5),0.0,9.4,0.8059698527878453
digits,5,2,Dirichlet (α=0.1),0.0,6.4,0.5735902244058236
digits,5,2,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,3,IID,0.0,10.0,0.9937704531137556
digits,5,3,Dirichlet (α=10.0),0.0,10.0,0.9772985827651619
digits,5,3,Dirichlet (α=1.0),0.0,10.0,0.8909302427102157
digits,5,3,Dirichlet (α=0.5),0.0,8.8,0.7019997715899015
digits,5,3,Dirichlet (α=0.1),0.0,6.4,0.5310647554447337
digits,5,3,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,4,IID,0.0,10.0,0.9970329221888358
digits,5,4,Dirichlet (α=10.0),0.0,10.0,0.9837535788746978
digits,5,4,Dirichlet (α=1.0),0.0,10.0,0.894802472174927
digits,5,4,Dirichlet (α=0.5),0.0,8.8,0.7712803031244504
digits,5,4,Dirichlet (α=0.1),0.0,5.8,0.4942244724159862
digits,5,4,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,5,IID,0.0,10.0,0.995032231826707
digits,5,5,Dirichlet (α=10.0),0.0,10.0,0.978432417856185
digits,5,5,Dirichlet (α=1.0),0.0,10.0,0.8857533032893198
digits,5,5,Dirichlet (α=0.5),0.0,9.2,0.7826691644133318
digits,5,5,Dirichlet (α=0.1),0.0,5.8,0.47338352341869616
digits,5,5,Forcé (1 classe/client),1.0,1.0,0.0
digits,5,6,IID,0.0,10.0,0.9951930069137817
