dataset,beta,mean_entropy,std_entropy
digits,0.01,0.1411292189471942,0.16925007818150514
digits,0.016237767391887217,0.20780841480968001,0.20831927789937654
digits,0.026366508987303583,0.24408522681338626,0.14883877759024572
digits,0.04281332398719394,0.22455518846015013,0.20075336333762542
digits,0.06951927961775606,0.39628396014295963,0.11935393560420123
digits,0.11288378916846889,0.4803834234878431,0.14634877916251304
digits,0.18329807108324356,0.5871793928846369,0.10873927786152454
digits,0.29763514416313175,0.7344987322864555,0.08276415486839273
digits,0.4832930238571752,0.806133933003254,0.0639263641119922
digits,0.7847599703514611,0.8039015332069155,0.05418665372981974
digits,1.2742749857031335,0.8579948668939915,0.0487441013180638
digits,2.06913808111479,0.9256397773582528,0.021044667239531786
digits,3.359818286283781,0.9515255013031476,0.016701265961262896
digits,5.455594781168514,0.9687442345041827,0.00892914471702666
digits,8.858667904100823,0.9885717435704077,0.007011712331022662
digits,14.38449888287663,0.9916494898700433,0.002711915408599346
digits,23.357214690901213,0.9942854294840924,0.002785499362692565
digits,37.92690190732246,0.9956574498486278,0.0018773701502536836
digits,61.584821106602604,0.9973889452339673,0.001126036005604429
digits,100.0,0.9984374968986536,0.0005297922742118123
iris,0.01,0.11389070761253672,0.22943460535977034
iris,0.016237767391887217,0.09999999999999998,0.29999999999999993
iris,0.026366508987303583,0.08119049530606771,0.19102497519734343
iris,0.04281332398719394,0.1957203718822436,0.2701389752027251
iris,0.06951927961775606,0.16158247072780063,0.3129577493219317
iris,0.11288378916846889,0.16227714672011156,0.29809131000598516
iris,0.18329807108324356,0.4474768905523815,0.40029892215409246
iris,0.29763514416313175,0.512269667538837,0.31724536994411207
iris,0.4832930238571752,0.676906297937038,0.27828464024558824
iris,0.7847599703514611,0.7766319622523861,0.3243982368893767
iris,1.2742749857031335,0.7525296053143683,0.1423788482422703
iris,2.06913808111479,0.7937955697838215,0.18369885713086404
iris,3.359818286283781,0.935528507004688,0.053111690791267395
iris,5.455594781168514,0.9462219780639456,0.03867163924290721
iris,8.858667904100823,0.9558495459243318,0.041260624734283824
iris,14.38449888287663,0.9773251757684791,0.01061025690132812
iris,23.357214690901213,0.9903743586167696,0.012004978440964504
iris,37.92690190732246,0.9903230564499396,0.006337375323992817
iris,61.584821106602604,0.9951102686495694,0.004018642588656504
iris,100.0,0.9976783659700418,0.0019597901492095253
