Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
mlp,dynamic,iid,Mean,0,0.101,2.3120282390594484,0.2564869225025177,1.0281182527542114
mlp,dynamic,iid,Mean,1,0.101,2.3116995811462404,0.23265911638736725,1.0135176181793213
mlp,dynamic,iid,Mean,2,0.101,2.3113763290405274,0.20430205762386322,1.0002809762954712
mlp,dynamic,iid,Mean,3,0.101,2.3110526947021484,0.18815255165100098,0.9876517653465271
mlp,dynamic,iid,Mean,4,0.101,2.31073383102417,0.1689150631427765,0.9786310791969299
mlp,dynamic,iid,Mean,5,0.101,2.3104181549072265,0.15438084304332733,0.9647121429443359
mlp,dynamic,iid,Mean,6,0.101,2.31010821723938,0.14354819059371948,0.9485062956809998
mlp,dynamic,iid,Mean,7,0.101,2.3098013412475584,0.126576766371727,0.9323487877845764
mlp,dynamic,iid,Mean,8,0.101,2.3094994720458986,0.11642079055309296,0.9235440492630005
mlp,dynamic,iid,Mean,9,0.101,2.30920100402832,0.10711788386106491,0.9107005000114441
mlp,dynamic,iid,Mean,10,0.101,2.3089044193267823,0.09884312003850937,0.9023921489715576
mlp,dynamic,iid,Mean,11,0.101,2.3086104930877687,0.09616614133119583,0.8931088447570801
mlp,dynamic,iid,Mean,12,0.101,2.3083196857452393,0.09215481579303741,0.8869433999061584
mlp,dynamic,iid,Mean,13,0.101,2.308033892059326,0.08903969079256058,0.8776413798332214
mlp,dynamic,iid,Mean,14,0.101,2.3077512718200683,0.08252627402544022,0.8686866760253906
mlp,dynamic,iid,Mean,15,0.101,2.307471544265747,0.08620943129062653,0.8614580035209656
mlp,dynamic,iid,Mean,16,0.101,2.3071958278656006,0.07229620963335037,0.8530628681182861
mlp,dynamic,iid,Mean,17,0.101,2.3069230514526367,0.0725882276892662,0.8520507216453552
mlp,dynamic,iid,Mean,18,0.101,2.3066535339355467,0.06870505958795547,0.8492068648338318
mlp,dynamic,iid,Mean,19,0.101,2.3063863304138184,0.06819174438714981,0.8438980579376221
mlp,dynamic,iid,Mean,20,0.101,2.306124074935913,0.06877727806568146,0.8424867391586304
mlp,dynamic,iid,Mean,21,0.101,2.3058642971038816,0.0668688714504242,0.8432837724685669
mlp,dynamic,iid,Mean,22,0.101,2.3056070476531985,0.0629103034734726,0.8390662670135498
mlp,dynamic,iid,Mean,23,0.101,2.3053520694732668,0.060037557035684586,0.836033821105957
mlp,dynamic,iid,Mean,24,0.101,2.305100341796875,0.06144203618168831,0.834868311882019
mlp,dynamic,iid,Mean,25,0.101,2.304850803375244,0.062282875180244446,0.8328651189804077
mlp,dynamic,iid,Mean,26,0.101,2.304602772903442,0.06159723177552223,0.8319191932678223
mlp,dynamic,iid,Mean,27,0.101,2.3043588710784912,0.0676252618432045,0.8323896527290344
mlp,dynamic,iid,Mean,28,0.101,2.304116314315796,0.07376276701688766,0.8302886486053467
mlp,dynamic,iid,Mean,29,0.101,2.3038771202087402,0.06776580959558487,0.8334188461303711
mlp,dynamic,iid,Mean,30,0.101,2.303642501831055,0.06987010687589645,0.8348026871681213
mlp,dynamic,iid,Mean,31,0.101,2.3034104663848876,0.06942815333604813,0.8320533037185669
mlp,dynamic,iid,Mean,32,0.101,2.3031799591064455,0.06446923315525055,0.830599844455719
mlp,dynamic,iid,Mean,33,0.101,2.3029485935211182,0.06907469779253006,0.8280655741691589
mlp,dynamic,iid,Mean,34,0.101,2.302720891571045,0.06671865284442902,0.831814706325531
mlp,dynamic,iid,Mean,35,0.101,2.3024931343078614,0.06968098133802414,0.8280824422836304
mlp,dynamic,iid,Mean,36,0.101,2.302267625808716,0.06706655770540237,0.8165345788002014
mlp,dynamic,iid,Mean,37,0.101,2.302044083404541,0.0618380606174469,0.8143430352210999
mlp,dynamic,iid,Mean,38,0.101,2.3018236068725586,0.06563568115234375,0.8080020546913147
