Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
mlp,static,iid,Mean,0,0.0811,2.3060998073577883,0.2703400254249573,0.2960258424282074
mlp,static,iid,Mean,1,0.0812,2.3058098854064943,0.2459489107131958,0.28040942549705505
mlp,static,iid,Mean,2,0.0814,2.305519033432007,0.22708813846111298,0.25608742237091064
mlp,static,iid,Mean,3,0.0813,2.3052251274108886,0.20687168836593628,0.23409603536128998
mlp,static,iid,Mean,4,0.0816,2.3049326614379884,0.19216707348823547,0.21936611831188202
mlp,static,iid,Mean,5,0.0819,2.3046410160064696,0.173257514834404,0.20948438346385956
mlp,static,iid,Mean,6,0.0823,2.304346089553833,0.15476202964782715,0.20016157627105713
mlp,static,iid,Mean,7,0.0823,2.304050671386719,0.14278483390808105,0.19168806076049805
mlp,static,iid,Mean,8,0.0829,2.303754140853882,0.13065391778945923,0.18204566836357117
mlp,static,iid,Mean,9,0.0837,2.303458712387085,0.11993750929832458,0.17208068072795868
mlp,static,iid,Mean,10,0.0846,2.303160098648071,0.1141340583562851,0.16540248692035675
mlp,static,iid,Mean,11,0.0853,2.3028611999511717,0.10457132756710052,0.1590607911348343
mlp,static,iid,Mean,12,0.0862,2.3025611209869385,0.10366979986429214,0.15829598903656006
mlp,static,iid,Mean,13,0.0871,2.3022605754852297,0.09881377220153809,0.16234123706817627
mlp,static,iid,Mean,14,0.0873,2.3019599159240722,0.09230548143386841,0.1629229038953781
mlp,static,iid,Mean,15,0.0873,2.3016599060058596,0.0867922306060791,0.1609833836555481
mlp,static,iid,Mean,16,0.0881,2.3013583953857424,0.0872933492064476,0.1594344824552536
mlp,static,iid,Mean,17,0.0887,2.3010579490661622,0.07377017289400101,0.15515267848968506
mlp,static,iid,Mean,18,0.0896,2.3007563716888426,0.08566910773515701,0.15327967703342438
mlp,static,iid,Mean,19,0.0903,2.300455080413818,0.08551488071680069,0.15239860117435455
mlp,static,iid,Mean,20,0.091,2.3001502937316896,0.0824616327881813,0.1550859957933426
mlp,static,iid,Mean,21,0.0924,2.299845782852173,0.08695495873689651,0.15557268261909485
mlp,static,iid,Mean,22,0.0936,2.2995399238586427,0.08339963108301163,0.15453284978866577
mlp,static,iid,Mean,23,0.095,2.2992313652038576,0.07628090679645538,0.1591596007347107
mlp,static,iid,Mean,24,0.0956,2.2989208545684816,0.07689057290554047,0.15757638216018677
mlp,static,iid,Mean,25,0.0973,2.298609482192993,0.08217454701662064,0.15601687133312225
mlp,static,iid,Mean,26,0.0993,2.2982968296051025,0.08256467431783676,0.1548895537853241
mlp,static,iid,Mean,27,0.1007,2.2979829345703124,0.09068117290735245,0.15449896454811096
mlp,static,iid,Mean,28,0.102,2.297670226287842,0.08070068061351776,0.1539659947156906
mlp,static,iid,Mean,29,0.1032,2.2973568344116213,0.07699117064476013,0.1528911292552948
mlp,static,iid,Mean,30,0.1036,2.2970417377471923,0.07404167205095291,0.15459957718849182
mlp,static,iid,Mean,31,0.1053,2.296728035736084,0.07039566338062286,0.15769045054912567
mlp,static,iid,Mean,32,0.1069,2.296412879180908,0.07745741307735443,0.1578303873538971
mlp,static,iid,Mean,33,0.1077,2.2960988506317137,0.06830605864524841,0.15827757120132446
mlp,static,iid,Mean,34,0.1094,2.2957832134246825,0.06770249456167221,0.1653306931257248
mlp,static,iid,Mean,35,0.1111,2.2954649417877198,0.07137247920036316,0.15792690217494965
mlp,static,iid,Mean,36,0.113,2.2951466533660887,0.06837921589612961,0.157136008143425
mlp,static,iid,Mean,37,0.1156,2.294828671646118,0.07234050333499908,0.15350832045078278
mlp,static,iid,Mean,38,0.118,2.2945110305786134,0.06865829974412918,0.1561487466096878
mlp,static,iid,Mean,39,0.1199,2.2941940620422363,0.06857788562774658,0.1599014848470688
mlp,static,iid,Mean,40,0.1217,2.293875399017334,0.0704808309674263,0.1640457659959793
mlp,static,iid,Mean,41,0.1245,2.293554274368286,0.06519606709480286,0.16418330371379852
mlp,static,iid,Mean,42,0.1274,2.293231935119629,0.07286130636930466,0.16233474016189575
mlp,static,iid,Mean,43,0.1307,2.2929087184906005,0.07691401988267899,0.16333428025245667
