Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
softmax,dynamic,iid,Mean,0,0.1082,2.30667988319397,1.1910557746887207,2.9148130416870117
softmax,dynamic,iid,Mean,1,0.1163,2.2962149711608886,1.0527229309082031,2.7252097129821777
softmax,dynamic,iid,Mean,2,0.1261,2.285977780532837,0.9387921094894409,2.564634084701538
softmax,dynamic,iid,Mean,3,0.1403,2.276003129577637,0.8623718619346619,2.4105191230773926
softmax,dynamic,iid,Mean,4,0.1529,2.2663192276000976,0.797317624092102,2.221266508102417
softmax,dynamic,iid,Mean,5,0.1687,2.2568910568237306,0.728117048740387,2.0147886276245117
softmax,dynamic,iid,Mean,6,0.183,2.247677597427368,0.6872360706329346,1.8572351932525635
softmax,dynamic,iid,Mean,7,0.1983,2.2387367515563965,0.612946629524231,1.7047483921051025
softmax,dynamic,iid,Mean,8,0.2156,2.230000806427002,0.5801138877868652,1.5711944103240967
softmax,dynamic,iid,Mean,9,0.232,2.2214373329162598,0.5298260450363159,1.442788004875183
softmax,dynamic,iid,Mean,10,0.2497,2.2130474369049074,0.4930920898914337,1.3556348085403442
softmax,dynamic,iid,Mean,11,0.2671,2.204776403427124,0.4843485951423645,1.2597131729125977
softmax,dynamic,iid,Mean,12,0.2837,2.1966277324676513,0.4819391369819641,1.2085679769515991
softmax,dynamic,iid,Mean,13,0.2984,2.1886201705932615,0.46596598625183105,1.161611557006836
softmax,dynamic,iid,Mean,14,0.3166,2.1807366874694822,0.447250634431839,1.1541577577590942
softmax,dynamic,iid,Mean,15,0.334,2.172959520339966,0.4175929129123688,1.154550552368164
softmax,dynamic,iid,Mean,16,0.3534,2.1652720607757567,0.41261711716651917,1.1275569200515747
softmax,dynamic,iid,Mean,17,0.3709,2.1576764656066896,0.37173551321029663,1.0961285829544067
softmax,dynamic,iid,Mean,18,0.3889,2.1501241744995117,0.36979779601097107,1.0923525094985962
softmax,dynamic,iid,Mean,19,0.4105,2.142642485809326,0.3403305113315582,1.0976593494415283
softmax,dynamic,iid,Mean,20,0.4326,2.1352572227478026,0.316477507352829,1.0766854286193848
softmax,dynamic,iid,Mean,21,0.4517,2.1279313133239746,0.29751574993133545,1.0862358808517456
softmax,dynamic,iid,Mean,22,0.4691,2.120689154052734,0.27295106649398804,1.0995604991912842
softmax,dynamic,iid,Mean,23,0.487,2.113488321685791,0.2991265058517456,1.1436997652053833
softmax,dynamic,iid,Mean,24,0.5017,2.106368464279175,0.3161645829677582,1.142882227897644
softmax,dynamic,iid,Mean,25,0.5155,2.0992841251373293,0.28422802686691284,1.1409928798675537
softmax,dynamic,iid,Mean,26,0.5295,2.092254662704468,0.29549530148506165,1.1606754064559937
softmax,dynamic,iid,Mean,27,0.542,2.0853104190826417,0.31556037068367004,1.1875123977661133
softmax,dynamic,iid,Mean,28,0.5543,2.0784278900146482,0.30929940938949585,1.1996430158615112
softmax,dynamic,iid,Mean,29,0.5638,2.0716143001556397,0.3207745850086212,1.2047785520553589
softmax,dynamic,iid,Mean,30,0.5734,2.0648606037139894,0.3317778706550598,1.1892863512039185
softmax,dynamic,iid,Mean,31,0.5826,2.058163655090332,0.32846659421920776,1.179082989692688
softmax,dynamic,iid,Mean,32,0.5902,2.051544775390625,0.3129224181175232,1.1793133020401
softmax,dynamic,iid,Mean,33,0.5983,2.0449942670822145,0.27856770157814026,1.192775845527649
softmax,dynamic,iid,Mean,34,0.6039,2.038527247238159,0.2755502164363861,1.2180111408233643
softmax,dynamic,iid,Mean,35,0.6096,2.032121273803711,0.2827689051628113,1.1830646991729736
softmax,dynamic,iid,Mean,36,0.6157,2.0257679014205934,0.2695014476776123,1.187720775604248
softmax,dynamic,iid,Mean,37,0.6193,2.0194481714248655,0.2913063168525696,1.1685014963150024
softmax,dynamic,iid,Mean,38,0.6247,2.0131694890975953,0.2871997356414795,1.1139616966247559
softmax,dynamic,iid,Mean,39,0.6288,2.006927189254761,0.27343976497650146,1.1096534729003906
softmax,dynamic,iid,Mean,40,0.6341,2.0007503589630127,0.28687864542007446,1.1255379915237427
softmax,dynamic,iid,Mean,41,0.6369,1.9946173749923706,0.2779223918914795,1.1311248540878296
softmax,dynamic,iid,Mean,42,0.64,1.9885076112747193,0.2883464992046356,1.12116277217865
softmax,dynamic,iid,Mean,43,0.643,1.9824419073104858,0.3091913163661957,1.1018221378326416
softmax,dynamic,iid,Mean,44,0.6468,1.976437046813965,0.2936288118362427,1.1254037618637085
softmax,dynamic,iid,Mean,45,0.65,1.9705386201858521,0.28295689821243286,1.1099783182144165
softmax,dynamic,iid,Mean,46,0.6527,1.964673274421692,0.29900315403938293,1.1077184677124023
softmax,dynamic,iid,Mean,47,0.6552,1.9588344192504883,0.3110809028148651,1.1135339736938477
softmax,dynamic,iid,Mean,48,0.6571,1.9530388208389282,0.3124593198299408,1.1154834032058716
softmax,dynamic,iid,Mean,49,0.6602,1.9472606372833252,0.293742835521698,1.1019468307495117
softmax,dynamic,iid,TriMean,0,0.1035,2.314628049468994,1.3046354055404663,2.0273356437683105
softmax,dynamic,iid,TriMean,1,0.1161,2.3048368728637696,1.1807960271835327,1.9891414642333984
softmax,dynamic,iid,TriMean,2,0.1296,2.2950343536376954,1.0926762819290161,2.015526294708252
softmax,dynamic,iid,TriMean,3,0.1434,2.285277903747559,1.0222480297088623,1.989254355430603
softmax,dynamic,iid,TriMean,4,0.1578,2.2755444290161133,0.9496184587478638,1.9440239667892456
softmax,dynamic,iid,TriMean,5,0.1736,2.265823467636108,0.8741437196731567,1.903311848640442
softmax,dynamic,iid,TriMean,6,0.1865,2.256067958831787,0.8055652379989624,1.8807116746902466
softmax,dynamic,iid,TriMean,7,0.2016,2.246348101043701,0.7195570468902588,1.8256702423095703
softmax,dynamic,iid,TriMean,8,0.214,2.236609842681885,0.6181609034538269,1.8226029872894287
softmax,dynamic,iid,TriMean,9,0.2293,2.2269281566619874,0.5831642150878906,1.7714112997055054
softmax,dynamic,iid,TriMean,10,0.2434,2.2173049655914308,0.5457944273948669,1.7145359516143799
softmax,dynamic,iid,TriMean,11,0.2561,2.2077619789123535,0.5385482311248779,1.6796151399612427
softmax,dynamic,iid,TriMean,12,0.2691,2.198190784072876,0.4948582649230957,1.627133846282959
softmax,dynamic,iid,TriMean,13,0.2823,2.1886066638946535,0.45195597410202026,1.6422803401947021
softmax,dynamic,iid,TriMean,14,0.2932,2.1790606536865234,0.4357624053955078,1.6463466882705688
softmax,dynamic,iid,TriMean,15,0.3055,2.169580821228027,0.41646304726600647,1.602342963218689
softmax,dynamic,iid,TriMean,16,0.3162,2.1601401351928713,0.38894617557525635,1.545507550239563
softmax,dynamic,iid,TriMean,17,0.3307,2.150812200927734,0.36503541469573975,1.5056716203689575
softmax,dynamic,iid,TriMean,18,0.3461,2.141544659423828,0.34197261929512024,1.4662742614746094
softmax,dynamic,iid,TriMean,19,0.3579,2.132279401397705,0.3349270820617676,1.4271663427352905
softmax,dynamic,iid,TriMean,20,0.3703,2.1230896450042724,0.3251059651374817,1.389310359954834
softmax,dynamic,iid,TriMean,21,0.3842,2.1139624237060546,0.3100912272930145,1.3954881429672241
softmax,dynamic,iid,TriMean,22,0.3976,2.1049494594573974,0.31227967143058777,1.3825650215148926
softmax,dynamic,iid,TriMean,23,0.4136,2.0959440174102784,0.2913362383842468,1.4063698053359985
softmax,dynamic,iid,TriMean,24,0.4267,2.0869915267944337,0.288687527179718,1.4166324138641357
softmax,dynamic,iid,TriMean,25,0.4417,2.07812444190979,0.3400405943393707,1.4448726177215576
softmax,dynamic,iid,TriMean,26,0.4564,2.0693222793579102,0.30602142214775085,1.3992222547531128
softmax,dynamic,iid,TriMean,27,0.4687,2.060589069747925,0.3176655173301697,1.3939862251281738
softmax,dynamic,iid,TriMean,28,0.4815,2.0519298595428466,0.2997075915336609,1.4784260988235474
softmax,dynamic,iid,TriMean,29,0.4947,2.043321057510376,0.28575599193573,1.4907206296920776
softmax,dynamic,iid,TriMean,30,0.51,2.034806550216675,0.30691972374916077,1.5052900314331055
softmax,dynamic,iid,TriMean,31,0.523,2.026300259780884,0.29545679688453674,1.5345871448516846
softmax,dynamic,iid,TriMean,32,0.535,2.0178475078582765,0.2878835201263428,1.5324633121490479
softmax,dynamic,iid,TriMean,33,0.5463,2.0094344242095947,0.2705754041671753,1.5915553569793701
softmax,dynamic,iid,TriMean,34,0.5539,2.0010721439361574,0.2919434905052185,1.5659304857254028
softmax,dynamic,iid,TriMean,35,0.5625,1.9927644176483155,0.29481929540634155,1.554999828338623
softmax,dynamic,iid,TriMean,36,0.5714,1.9845120363235473,0.2900722026824951,1.5240230560302734
softmax,dynamic,iid,TriMean,37,0.5808,1.9763223806381225,0.2980380654335022,1.561407446861267
softmax,dynamic,iid,TriMean,38,0.5895,1.9681929601669312,0.28870889544487,1.6182328462600708
softmax,dynamic,iid,TriMean,39,0.5975,1.9601293794631958,0.27800339460372925,1.6758840084075928
softmax,dynamic,iid,TriMean,40,0.6044,1.9521441387176515,0.2643476128578186,1.7270443439483643
softmax,dynamic,iid,TriMean,41,0.6106,1.9442452627182008,0.2666879892349243,1.6976488828659058
softmax,dynamic,iid,TriMean,42,0.6166,1.9364157409667968,0.28430411219596863,1.7386019229888916
softmax,dynamic,iid,TriMean,43,0.6231,1.92864296875,0.27579808235168457,1.7702324390411377
softmax,dynamic,iid,TriMean,44,0.629,1.9209467823028565,0.3193656802177429,1.7797578573226929
softmax,dynamic,iid,TriMean,45,0.6365,1.913331162071228,0.315233051776886,1.7546911239624023
softmax,dynamic,iid,TriMean,46,0.6409,1.9057345336914062,0.28865906596183777,1.7328046560287476
softmax,dynamic,iid,TriMean,47,0.6472,1.8981846897125245,0.2736036777496338,1.7911067008972168
softmax,dynamic,iid,TriMean,48,0.653,1.8906681005477906,0.252260684967041,1.8243296146392822
softmax,dynamic,iid,TriMean,49,0.6564,1.8831712524414062,0.24818328022956848,1.8487306833267212
softmax,dynamic,iid,FABA,0,0.1184,2.284589716720581,1.3488284349441528,2.214912176132202
softmax,dynamic,iid,FABA,1,0.1299,2.2743662521362307,1.177072286605835,2.1836130619049072
softmax,dynamic,iid,FABA,2,0.1434,2.2643182823181154,1.0646212100982666,2.16447377204895
softmax,dynamic,iid,FABA,3,0.1551,2.2544405891418458,0.9506959319114685,2.1370415687561035
softmax,dynamic,iid,FABA,4,0.1708,2.2447220195770266,0.8689432740211487,2.0990023612976074
softmax,dynamic,iid,FABA,5,0.1854,2.2351055019378663,0.7940313220024109,2.042030096054077
softmax,dynamic,iid,FABA,6,0.1991,2.2255817390441894,0.7276833653450012,2.0510826110839844
