Model,Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
softmax,static,iid,Mean,0,0.144,2.282761434173584,1.4018293619155884,1.7030606269836426
softmax,static,iid,Mean,1,0.1537,2.273377292251587,1.2449012994766235,1.6058540344238281
softmax,static,iid,Mean,2,0.1653,2.264105263519287,1.1370232105255127,1.5422546863555908
softmax,static,iid,Mean,3,0.1776,2.254955428314209,1.031302809715271,1.4285900592803955
softmax,static,iid,Mean,4,0.1898,2.2458175926208495,0.9468032121658325,1.3269315958023071
softmax,static,iid,Mean,5,0.2041,2.236768424987793,0.8507605195045471,1.256502389907837
softmax,static,iid,Mean,6,0.2183,2.2278684272766114,0.7463560700416565,1.2173596620559692
softmax,static,iid,Mean,7,0.2338,2.2190710334777832,0.6324066519737244,1.173919677734375
softmax,static,iid,Mean,8,0.2491,2.210452185058594,0.6177570819854736,1.0887186527252197
softmax,static,iid,Mean,9,0.2673,2.2019293979644776,0.5708968639373779,1.0936949253082275
softmax,static,iid,Mean,10,0.2885,2.1934318687438963,0.53746098279953,1.04008150100708
softmax,static,iid,Mean,11,0.3102,2.185055324935913,0.5040315389633179,1.0039026737213135
softmax,static,iid,Mean,12,0.3297,2.176735711669922,0.49134907126426697,0.9898245930671692
softmax,static,iid,Mean,13,0.3528,2.168500416946411,0.451375275850296,0.9902498126029968
softmax,static,iid,Mean,14,0.3727,2.1603571224212645,0.44680121541023254,0.9849755167961121
softmax,static,iid,Mean,15,0.3943,2.1522996986389162,0.43136534094810486,0.95355224609375
softmax,static,iid,Mean,16,0.4121,2.144349440002441,0.4414907991886139,0.9376074075698853
softmax,static,iid,Mean,17,0.43,2.1364551597595214,0.4264155626296997,0.9286057949066162
softmax,static,iid,Mean,18,0.4475,2.1285901947021486,0.3869839310646057,0.8989420533180237
softmax,static,iid,Mean,19,0.4635,2.1207447708129883,0.39201560616493225,0.8813249468803406
softmax,static,iid,Mean,20,0.4758,2.112987694168091,0.3523525297641754,0.8686168789863586
softmax,static,iid,Mean,21,0.4895,2.1053108520507813,0.3374604284763336,0.8730418682098389
softmax,static,iid,Mean,22,0.5004,2.097687941741943,0.32178443670272827,0.8883950710296631
softmax,static,iid,Mean,23,0.5091,2.090128919219971,0.3395916223526001,0.8870860934257507
softmax,static,iid,Mean,24,0.518,2.0826138856887817,0.34037429094314575,0.8683192133903503
softmax,static,iid,Mean,25,0.5256,2.0752042278289795,0.3416377604007721,0.8590983748435974
softmax,static,iid,Mean,26,0.5346,2.06781696434021,0.3231486678123474,0.8630369901657104
softmax,static,iid,Mean,27,0.5416,2.0605207580566405,0.32130861282348633,0.8537130951881409
softmax,static,iid,Mean,28,0.548,2.0532714519500734,0.31212833523750305,0.8492761850357056
softmax,static,iid,Mean,29,0.5554,2.0460848234176634,0.3013494908809662,0.868632435798645
softmax,static,iid,Mean,30,0.5613,2.038938747596741,0.3192143440246582,0.8601657748222351
softmax,static,iid,Mean,31,0.5656,2.0318716854095458,0.3097381889820099,0.8570047616958618
softmax,static,iid,Mean,32,0.5703,2.0248320093154906,0.31270334124565125,0.859205961227417
softmax,static,iid,Mean,33,0.5762,2.0177993181228637,0.30264127254486084,0.8533924221992493
softmax,static,iid,Mean,34,0.5811,2.0108263687133787,0.2923916280269623,0.8534080982208252
softmax,static,iid,Mean,35,0.5872,2.0039108736038207,0.2718134820461273,0.8455766439437866
softmax,static,iid,Mean,36,0.5926,1.997011859893799,0.29558274149894714,0.8392699360847473
softmax,static,iid,Mean,37,0.5985,1.9901439672470094,0.2858462333679199,0.8524593114852905
softmax,static,iid,Mean,38,0.6037,1.9833226121902465,0.2842600643634796,0.8705334067344666
softmax,static,iid,Mean,39,0.608,1.9765412601470946,0.3018163740634918,0.86540687084198
softmax,static,iid,Mean,40,0.6121,1.969810126876831,0.31186529994010925,0.8582632541656494
softmax,static,iid,Mean,41,0.6162,1.9631046159744263,0.3233259618282318,0.8523182272911072
