Attack,Partition,Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
static,iid,Mean,0,0.144,2.282761434173584,1.4018293619155884,1.7030606269836426
static,iid,Mean,1,0.1537,2.273377292251587,1.2449012994766235,1.6058540344238281
static,iid,Mean,2,0.1653,2.264105263519287,1.1370232105255127,1.5422546863555908
static,iid,Mean,3,0.1776,2.254955428314209,1.031302809715271,1.4285900592803955
static,iid,Mean,4,0.1898,2.2458175926208495,0.9468032121658325,1.3269315958023071
static,iid,Mean,5,0.2041,2.236768424987793,0.8507605195045471,1.256502389907837
static,iid,Mean,6,0.2183,2.2278684272766114,0.7463560700416565,1.2173596620559692
static,iid,Mean,7,0.2338,2.2190710334777832,0.6324066519737244,1.173919677734375
static,iid,Mean,8,0.2491,2.210452185058594,0.6177570819854736,1.0887186527252197
static,iid,Mean,9,0.2673,2.2019293979644776,0.5708968639373779,1.0936949253082275
static,iid,TriMean,0,0.0596,2.3345599452972414,1.2088017463684082,1.3168514966964722
static,iid,TriMean,1,0.0721,2.3245479850769044,1.076422929763794,1.2230560779571533
static,iid,TriMean,2,0.0827,2.314452656173706,0.9667049050331116,1.178686499595642
static,iid,TriMean,3,0.097,2.3043661766052246,0.8819605112075806,1.105322241783142
static,iid,TriMean,4,0.1117,2.294360887145996,0.8026559948921204,1.0681613683700562
static,iid,TriMean,5,0.1278,2.284276510620117,0.7215720415115356,1.0191280841827393
static,iid,TriMean,6,0.1421,2.274207522201538,0.6447052955627441,0.9802952408790588
static,iid,TriMean,7,0.159,2.2641296424865724,0.5849781036376953,0.9508194923400879
static,iid,TriMean,8,0.1709,2.2540704269409177,0.5539188981056213,0.9301979541778564
static,iid,TriMean,9,0.1828,2.2440609554290774,0.4910470247268677,0.9043158888816833
static,iid,FABA,0,0.13,2.2983549324035644,1.3313939571380615,1.6002757549285889
static,iid,FABA,1,0.1471,2.287895538330078,1.1742851734161377,1.5030767917633057
static,iid,FABA,2,0.1632,2.2775838333129883,1.034795880317688,1.3776321411132812
static,iid,FABA,3,0.183,2.267375177383423,0.9711595773696899,1.311757206916809
static,iid,FABA,4,0.2013,2.2572617263793946,0.8452536463737488,1.2765079736709595
static,iid,FABA,5,0.2171,2.2472116279602052,0.764667272567749,1.233749270439148
static,iid,FABA,6,0.2333,2.237280924987793,0.7231788635253906,1.1954342126846313
static,iid,FABA,7,0.2459,2.22748518409729,0.64756178855896,1.1456702947616577
static,iid,FABA,8,0.2593,2.217682257080078,0.6269404292106628,1.094857931137085
static,iid,FABA,9,0.2728,2.2080005111694336,0.5821724534034729,1.0312855243682861
