Aggregator,Iteration,TestAccuracy,TestLoss,xi,A
Mean,0,0.1379,2.287746103668213,0.742979109287262,1.4873852729797363
Mean,1,0.1399,2.283268688964844,0.6767373085021973,1.3788769245147705
Mean,2,0.1422,2.2788550201416014,0.6291403770446777,1.2874853610992432
Mean,3,0.1471,2.274581714630127,0.5833646059036255,1.236664891242981
Mean,4,0.1527,2.270300969314575,0.5290999412536621,1.1621112823486328
Mean,5,0.157,2.266026066970825,0.5056636333465576,1.09767484664917
Mean,6,0.1638,2.261698031616211,0.4646835923194885,1.0682765245437622
Mean,7,0.1713,2.2573935932159426,0.4051688611507416,1.0261454582214355
Mean,8,0.1779,2.2530332687377927,0.3765801191329956,1.0114893913269043
Mean,9,0.1849,2.248657364654541,0.33424273133277893,0.9808729290962219
TriMean,0,0.0535,2.3392318412780764,0.687349259853363,1.4127644300460815
TriMean,1,0.0566,2.3339881690979003,0.6244516372680664,1.3556642532348633
TriMean,2,0.0608,2.32885965385437,0.5617577433586121,1.278384804725647
TriMean,3,0.0639,2.323881231689453,0.5467092990875244,1.1945466995239258
TriMean,4,0.0689,2.3189625415802,0.52225261926651,1.140720009803772
TriMean,5,0.0723,2.314213731384277,0.4851488173007965,1.0901628732681274
TriMean,6,0.0769,2.3096202438354494,0.43559563159942627,1.0583354234695435
TriMean,7,0.0813,2.305056337738037,0.3972926139831543,1.0098209381103516
TriMean,8,0.087,2.3005131484985353,0.36514320969581604,0.9763384461402893
TriMean,9,0.0925,2.2961159294128417,0.34006717801094055,0.9602158665657043
FABA,0,0.1238,2.3038211921691896,0.6554627418518066,1.2282731533050537
FABA,1,0.135,2.2987685989379885,0.5948641896247864,1.1708093881607056
FABA,2,0.1434,2.2938060157775877,0.5311107635498047,1.1283177137374878
FABA,3,0.1551,2.288981365966797,0.47923898696899414,1.0751651525497437
FABA,4,0.1649,2.2841505390167236,0.4301490783691406,1.0439906120300293
FABA,5,0.1736,2.2793254653930664,0.39886292815208435,1.0093828439712524
FABA,6,0.1804,2.2745381393432615,0.3592459261417389,0.9664841294288635
FABA,7,0.1898,2.269756321716309,0.32204893231391907,0.9792048335075378
FABA,8,0.2003,2.264937247467041,0.3039374053478241,0.9550615549087524
FABA,9,0.2076,2.2602259761810304,0.2969436049461365,0.939217746257782
CC,0,0.095,2.333909465789795,0.7551317811012268,1.361887812614441
CC,1,0.0972,2.3294753437042237,0.6849600672721863,1.2979637384414673
CC,2,0.0998,2.3248963855743408,0.6188522577285767,1.2286087274551392
CC,3,0.1031,2.320301138687134,0.5974814295768738,1.175622582435608
CC,4,0.1068,2.315570453262329,0.5396483540534973,1.133215308189392
CC,5,0.1119,2.3108882904052734,0.5078025460243225,1.0976042747497559
CC,6,0.1165,2.306239931869507,0.4733702540397644,1.0798437595367432
CC,7,0.1205,2.301581623840332,0.4252169728279114,1.0364571809768677
CC,8,0.1245,2.296976919937134,0.3739914298057556,0.9947656393051147
CC,9,0.1291,2.292376728439331,0.34455186128616333,0.9884074330329895
LFighter,0,0.0869,2.2916033782958984,0.7184565663337708,1.4867804050445557
LFighter,1,0.0879,2.29184382019043,0.676354706287384,1.4019955396652222
LFighter,2,0.0874,2.2922304004669187,0.6109208464622498,1.3212460279464722
LFighter,3,0.0867,2.292734297180176,0.5420103073120117,1.2602946758270264
LFighter,4,0.0866,2.293267823410034,0.49746114015579224,1.1981899738311768
LFighter,5,0.0866,2.293776184463501,0.4363410174846649,1.147902011871338
LFighter,6,0.0861,2.2943215900421143,0.41093456745147705,1.1306898593902588
LFighter,7,0.0858,2.2947638019561767,0.3778635263442993,1.071182370185852
LFighter,8,0.0862,2.2951719947814944,0.3547786772251129,1.0207934379577637
LFighter,9,0.0859,2.295561057281494,0.32283931970596313,1.0042667388916016
